Ограничение;В чём состоит;Следствие для вывода
Очереди на АЗС не наблюдаются;центральное звено цепочки отсутствует в данных: нет длины очереди, времени ожидания, загрузки АЗС;механизм проверяется только косвенно
Нет геопозиции АЗС;нельзя связать нарушение с конкретной заправкой;невозможен пространственный тест механизма
Короткое окно наблюдения;зрелых месяцев 4 (01.04-31.07): левое усечение до 01.04, правое цензурирование с 01.08;сезонность неотделима от эффекта кризиса
Короткий доcобытийный период для 01.05;всего 4 недели до события;ослабляет силу pre-trend анализа для майской даты
Parallel trends для 01.05 непроверяема;докризисный период — только апрель;DiD для мая приводится с оговоркой
Наблюдаются постановления, а не нарушения;изменение плотности камер или скорости обработки выглядит как изменение поведения;конкурирующее объяснение нельзя исключить
Редкие события;обочина ~2.9, стоп-линия ~4.3 нарушений в день;ограниченная статистическая мощность
Множественное тестирование;13 исходов x 2 даты x несколько моделей;вывод строится на согласованности спецификаций и placebo-распределении, а не на отдельных p-value
Клиенты одного сервиса;не генеральная совокупность водителей;ограничена внешняя валидность
Промежуточная группа в DiD исключена;клиенты с апрельским p90 в 35.62-45.62 л;сужает внешнюю валидность оценки DiD
