вопрос;ответ
1. Не использовал ли я информацию из будущего?;НЕТ. fines_last_6/12/24/36_month формально проверены (corr с исходом 2026 = 0.53 против 0.31 у датированных колонок 2025) и внесены в список FORBIDDEN. Экспозиция для DiD построена ТОЛЬКО по апрелю 2026 — докризисному в обеих спецификациях. Окно обрезано по in_mature_window: правое цензурирование (авг-сен) исключено.
2. Не изменил ли я дату кризиса ради результата?;НЕТ. Обе даты зафиксированы до оценки: MAY=01.05 (по заданию) и JUN=19.06 (по метаданным). Обе отчитываются всегда. Примечательно, что «удобной» оказалась именно дата задания (IRR=2.227), а документированная дата даёт ноль (IRR=0.938) — то есть отчёт идёт ПРОТИВ удобного результата.
3. Не выбрал ли я outcome после просмотра результатов?;НЕТ. Состав composite (5 манёвренных категорий) и исключение телефона зафиксированы в §3 с содержательным обоснованием до §5. Альтернативные определения outcome (с телефоном, без парковки, без разметки) показаны все, включая те, что ослабляют эффект.
4. Не выбрал ли я модель из-за значимости?;НЕТ. Выбор NB vs Poisson сделан по Cameron-Trivedi, AIC и LR-тесту (§6-§7), а не по p-value. Для composite NB предпочтительна (AIC 936 против 1025), и она даёт тот же результат, что Пуассон. Приведены OLS/NW, Poisson, NB, Panel FE, DiD — все.
5. Не исключил ли я неудобные наблюдения?;НЕТ. Исключения — только по документированным правилам датасета (левое усечение до 01.04, правое цензурирование с 01.08, дубли постановлений, возвраты топлива, не-моторное топливо) и записаны в §1.3 с обоснованием. Промежуточная группа 35.62-45.62 л в DiD исключена явно и указана в тексте. Клиенты без нарушений выпадают из условного Пуассона по свойству модели.
6. Не объявил ли я корреляцию причинностью?;НЕТ. Event study показывает значимые ДОкризисные недели в обеих спецификациях (предтренд), что само по себе блокирует причинную интерпретацию. В выводе используется формулировка «статистическая ассоциация», слово «доказана» не употребляется.
7. Не проигнорировал ли я negative controls?;"НЕТ, они оказались решающими. В спецификации MAY 3 из 5 negative controls дают значимый скачок; ремень безопасности — IRR 3.00, что прямо соответствует зарегистрированной аномалии ENFORCEMENT_STEP_MAY (рост фиксации в 2.7 раза с 10.05)."
8. Не скрываю ли я модели, противоречащие выводу?;НЕТ. Все 20 спецификаций composite приведены в §14 и на графике 7, включая те, где эффект значим и положителен (MAY: 8 из 10). Расхождение между MAY и JUN не сглажено, а вынесено в центр вывода.
9. Не является ли результат общим ростом числа штрафов?;ЧАСТИЧНО ДА — и это главный результат. Все нарушения в мае: IRR 1.38 (p<0.001). После offset на прочие штрафы майский эффект падает с 2.227 до 1.683 (остаётся значимым), но при исключении Москвы и СПб исчезает полностью (IRR=1.027, p=0.8018). То есть «майский эффект» локализован в двух городах и сопровождается ростом контролей — профиль смены режима фиксации.
10. Устойчив ли результат к альтернативным спецификациям?;"НЕТ для гипотезы. Скользящее placebo: 55% ПРОИЗВОЛЬНЫХ дат отсечки дают «значимый» скачок; ранг 01.05 — 14-й из 92. Чистое placebo 15.05 внутри докризисного периода даёт IRR=2.012 (p=0.0) — ложноположительный по построению. DiD на естественной контрольной группе: MAY IRR=1.006 (p=0.9652), JUN IRR=1.022 (p=0.8645) — эффекта нет."
