table;code;description;n_rows;pct_of_table;action;решение;обоснование
clients;DUP_VEHICLE_ROW;Одна и та же пара (client_id, auto_document_id) встречается дважды. 40 из 47 пар полностью идентичны, 7 различаются счётчиками штрафов.;94;0.3329;"Оставлена строка с максимальным fines_last_12_month; вторая помечена и исключена из client-level агрегатов";исключить;"дубль строки авто; на нарушения не влияет"
clients;VEHICLE_MULTI_CLIENT;Один auto_document_id связан с несколькими client_id (вероятно перепродажа авто).;196;0.6941;Сохранено как есть — это не ошибка данных;учесть;"перепродажа авто — не ошибка; оставляем"
clients;NULL_GENDER;Пропуск в поле gender (пол).;42;0.1487;"НЕ импутировано; строка остаётся, исключается только из моделей, использующих это поле";учесть;"0.15%; выпадает только из моделей с полом"
clients;NULL_AGE_TYPE_CODE;Пропуск в поле age_type_code (возрастная группа).;2;0.0071;"НЕ импутировано; строка остаётся, исключается только из моделей, использующих это поле";учесть;"0.007%; аналогично"
clients;NULL_PRICE;Пропуск в поле price (цена авто).;631;2.2347;"НЕ импутировано; строка остаётся, исключается только из моделей, использующих это поле";учесть;"2.2%; выпадает только из моделей с ценой"
clients;NULL_COLOR;Пропуск в поле color (цвет).;1408;4.9864;"НЕ импутировано; строка остаётся, исключается только из моделей, использующих это поле";учесть;цвет в моделях не используется
clients;NULL_ENGINE_TYPE;Пропуск в поле engine_type (двигатель).;2;0.0071;"НЕ импутировано; строка остаётся, исключается только из моделей, использующих это поле";учесть;0.007%
clients;SUBSCRIBED_MID_WINDOW;Клиент подключился к сервису после 2026-04-01 — у него не может быть полного «докризисного» периода.;2651;9.3884;"Помечен; исключён из фиксированной когорты для расчёта ставок";исключить;нет полного докризисного периода -> фиксированная когорта
clients;NO_2025_BASELINE;Клиент подключился после 2025-04-01 — его счётчики штрафов за 2025 механически занижены (в среднем 1.80 против 6.01).;11753;41.6227;"Помечен; исключён из всех межгодовых сравнений 2025 vs 2026";sensitivity;"искажает счётчики 2025; межгодовые сравнения не делаем, но проверяем"
clients;POST_TREATMENT_WINDOW;fines_last_6/12/24/36_month пересекаются с периодом кризиса 2026 (корреляция с наблюдёнными штрафами 2026 = 0.75 против 0.45 с 2025).;28237;100.0;"НЕ используются как контрольные переменные; вместо них — датированные помесячные колонки 2025";исключить;fines_last_6/12/24/36 = утечка из будущего, в контроли НЕ берём
fines;DUPLICATE_BILL;Разные bill_id при полном совпадении клиента, секунды нарушения, статьи и суммы — почти наверняка дублирующие постановления.;8;0.0103;"Оставлено первое; второе помечено флагом. Влияние на результаты: нулевое (0.01%)";исключить;is_kept_bill == False
fines;LEFT_TRUNCATION;Наблюдения до 2026-04-01: суточное число растёт со 116 до плато ~401 — выгрузка отфильтрована по дате обработки постановления, а не по дате нарушения.;3032;3.8883;"Помечено; ИСКЛЮЧЕНО из всех расчётов по нарушениям";исключить;до 2026-04-01 выгрузка неполна
fines;RIGHT_CENSORING;Наблюдения с 2026-08-01: монотонное затухание 3176→1964→1605→597→4 в неделю вплоть до даты выгрузки. Это лаг регистрации, а не падение нарушаемости.;12622;16.1866;"Помечено; ИСКЛЮЧЕНО из всех расчётов по нарушениям. КРИТИЧНО: иначе получается ложный вывод «нарушения упали на 32%»";исключить;"с 2026-08-01 лаг регистрации; иначе ложное падение -32%"
fines;ENFORCEMENT_STEP_MAY;Фиксация «ремень безопасности» выросла в 2.7 раза с 10 мая 2026 (49-96 → 195-281 в неделю) — за 6 недель ДО первых топливных ограничений. Изменение режима фиксации, не поведения.;3718;4.768;"Помечено; все ключевые результаты проверены с исключением этой категории";sensitivity;КЛЮЧЕВОЕ: скачок фиксации ремней с 10.05 — конкурирующее объяснение майского эффекта
fuel;REVERSAL;"Объём ≤ 0 л (минимум −164 л). Среднее −36.2 л зеркально среднему +36.0 л; равномерно по месяцам — это возвраты/отмены.";1500;0.395;"Помечено; ИСКЛЮЧЕНО из агрегатов объёма и цены, строка сохранена в файле";исключить;возвраты топлива
fuel;PRICE_MULTIMODAL;Распределение цены трёхмодальное: <50 ₽/л (газ, медиана объёма 45.6 л), 55–110 ₽/л (бензин/ДТ, 97.2%), >110 ₽/л (медиана 259 ₽/л при объёме 6.6 л — не моторное топливо).;10594;2.7901;Разделено по тарифным группам. Основной анализ — только Бензин/ДТ. КРИТИЧНО: без этого газовые регионы ложно выглядят «освобождёнными» от лимита;исключить;только Бензин/ДТ в основном анализе
fuel;LARGE_VOLUME;Объём > 100 л (максимум 505.6 л). Физически возможно для коммерческих/бензовозных заправок.;1060;0.2792;Сохранено. Все ключевые метрики используют 90-й перцентиль, устойчивый к этим значениям;учесть;"физически возможно; используем перцентили"
